WBS,Equipment_Name,Equation_Key,Design_Parameter,Min_Range,Max_Range,Formula
PVC,pvc_pipe_eq_proc,pvc_pipe_eq,=proc_pipe_diam,"=VLOOKUP($E42,eq_table_cl,P$4,FALSE)","=VLOOKUP($E42,eq_table_cl,O$4,FALSE)","=IF(D42=0,0,IF(OR(D42>P42,D42<Q42),""contact vendor"",F42*D42^G42+H42*LN(D42)+I42+J42*EXP(K42*D42)+L42"
Stainless Steel,ss_pipe_eq_proc,ss_pipe_eq,=proc_pipe_diam,"=VLOOKUP($E43,eq_table_cl,P$4,FALSE)","=VLOOKUP($E43,eq_table_cl,O$4,FALSE)","=IF(D43=0,0,IF(OR(D43>P43,D43<Q43),""contact vendor"",F43*D43^G43+H43*LN(D43)+I43+J43*EXP(K43*D43)+L43"
Steel,st_pipe_eq_proc,st_pipe_eq,=proc_pipe_diam,"=VLOOKUP($E44,eq_table_cl,P$4,FALSE)","=VLOOKUP($E44,eq_table_cl,O$4,FALSE)","=IF(D44=0,0,IF(OR(D44>P44,D44<Q44),""contact vendor"",F44*D44^G44+H44*LN(D44)+I44+J44*EXP(K44*D44)+L44"
CPVC,cpvc_pipe_eq_back,cpvc_pipe_eq,=back_pipe_diam,"=VLOOKUP($E46,eq_table_cl,P$4,FALSE)","=VLOOKUP($E46,eq_table_cl,O$4,FALSE)","=IF(D46=0,0,IF(OR(D46>P46,D46<Q46),""contact vendor"",F46*D46^G46+H46*LN(D46)+I46+J46*EXP(K46*D46)+L46"
PVC,pvc_pipe_eq_back,pvc_pipe_eq,=back_pipe_diam,"=VLOOKUP($E47,eq_table_cl,P$4,FALSE)","=VLOOKUP($E47,eq_table_cl,O$4,FALSE)","=IF(D47=0,0,IF(OR(D47>P47,D47<Q47),""contact vendor"",F47*D47^G47+H47*LN(D47)+I47+J47*EXP(K47*D47)+L47"
Stainless Steel,ss_pipe_eq_back,ss_pipe_eq,=back_pipe_diam,"=VLOOKUP($E48,eq_table_cl,P$4,FALSE)","=VLOOKUP($E48,eq_table_cl,O$4,FALSE)","=IF(D48=0,0,IF(OR(D48>P48,D48<Q48),""contact vendor"",F48*D48^G48+H48*LN(D48)+I48+J48*EXP(K48*D48)+L48"
Steel,st_pipe_eq_back,st_pipe_eq,=back_pipe_diam,"=VLOOKUP($E49,eq_table_cl,P$4,FALSE)","=VLOOKUP($E49,eq_table_cl,O$4,FALSE)","=IF(D49=0,0,IF(OR(D49>P49,D49<Q49),""contact vendor"",F49*D49^G49+H49*LN(D49)+I49+J49*EXP(K49*D49)+L49"
Ductile Iron,di_pipe_eq_in_out,di_pipe_eq,=in_out_pipe_diam,"=VLOOKUP($E51,eq_table_cl,P$4,FALSE)","=VLOOKUP($E51,eq_table_cl,O$4,FALSE)","=IF(D51=0,0,IF(OR(D51>P51,D51<Q51),""contact vendor"",F51*D51^G51+H51*LN(D51)+I51+J51*EXP(K51*D51)+L51"
CPVC,cpvc_pipe_eq_in_out,cpvc_pipe_eq,=in_out_pipe_diam,"=VLOOKUP($E52,eq_table_cl,P$4,FALSE)","=VLOOKUP($E52,eq_table_cl,O$4,FALSE)","=IF(D52=0,0,IF(OR(D52>P52,D52<Q52),""contact vendor"",F52*D52^G52+H52*LN(D52)+I52+J52*EXP(K52*D52)+L52"
PVC,pvc_pipe_eq_in_out,pvc_pipe_eq,=in_out_pipe_diam,"=VLOOKUP($E53,eq_table_cl,P$4,FALSE)","=VLOOKUP($E53,eq_table_cl,O$4,FALSE)","=IF(D53=0,0,IF(OR(D53>P53,D53<Q53),""contact vendor"",F53*D53^G53+H53*LN(D53)+I53+J53*EXP(K53*D53)+L53"
Stainless Steel,ss_pipe_eq_in_out,ss_pipe_eq,=in_out_pipe_diam,"=VLOOKUP($E54,eq_table_cl,P$4,FALSE)","=VLOOKUP($E54,eq_table_cl,O$4,FALSE)","=IF(D54=0,0,IF(OR(D54>P54,D54<Q54),""contact vendor"",F54*D54^G54+H54*LN(D54)+I54+J54*EXP(K54*D54)+L54"
